사용일자,9호선,경부선,합계
2019-01,942928,369508,1312436
2019-02,801182,312035,1113217
2019-03,958711,376872,1335583
2019-04,940932,363783,1304715
2019-05,948137,371845,1319982
2019-06,880999,336326,1217325
2019-07,928791,335613,1264404
2019-08,886767,314581,1201348
2019-09,868086,328129,1196215
2019-10,989063,371324,1360387
2019-11,969046,351119,1320165
2019-12,1007696,357102,1364798
2020-01,904036,311105,1215141
2020-02,716909,241484,958393
2020-03,577859,194058,771917
2020-04,626128,209549,835677
2020-05,694224,234120,928344
2020-06,717281,233126,950407
2020-07,780363,247674,1028037
2020-08,624850,195787,820637
2020-09,525017,190294,715311
2020-10,672747,254290,927037
2020-11,678525,255596,934121
2020-12,502539,191599,694138
2021-01,522031,189502,711533
2021-02,540702,195089,735791
2021-03,696949,242457,939406
2021-04,693323,240615,933938
2021-05,678525,233008,911533
2021-06,681527,235363,916890
2021-07,628036,204974,833010
2021-08,597189,190559,787748
2021-09,614429,212178,826607
2021-10,673025,238589,911614
2021-11,708855,252643,961498
2021-12,686230,232474,918704
2022-01,672116,224218,896334
2022-02,562152,181923,744075
2022-03,627736,206073,833809
2022-04,708841,241992,950833
2022-05,769735,266654,1036389
2022-06,710868,233138,944006
2022-07,721182,221125,942307
2022-08,707068,218080,925148
2022-09,733931,249181,983112
2022-10,788005,289480,1077485
2022-11,772405,270704,1043109
2022-12,787892,295488,1083380
2023-01,705036,249866,954902
2023-02,693469,241333,934802
2023-03,773903,276003,1049906
2023-04,745868,269514,1015382
2023-05,764789,271438,1036227
2023-06,728652,251277,979929
