사용일자,2호선,합계
2019-01,627374,627374
2019-02,520229,520229
2019-03,623468,623468
2019-04,635411,635411
2019-05,636900,636900
2019-06,590847,590847
2019-07,645676,645676
2019-08,599277,599277
2019-09,573103,573103
2019-10,656118,656118
2019-11,645511,645511
2019-12,650127,650127
2020-01,591744,591744
2020-02,518748,518748
2020-03,450292,450292
2020-04,472917,472917
2020-05,513653,513653
2020-06,551177,551177
2020-07,587956,587956
2020-08,484469,484469
2020-09,462392,462392
2020-10,523985,523985
2020-11,544434,544434
2020-12,445873,445873
2021-01,453481,453481
2021-02,450633,450633
2021-03,564646,564646
2021-04,562564,562564
2021-05,542525,542525
2021-06,572129,572129
2021-07,508110,508110
2021-08,478044,478044
2021-09,474027,474027
2021-10,523334,523334
2021-11,581898,581898
2021-12,568273,568273
2022-01,525115,525115
2022-02,447518,447518
2022-03,514641,514641
2022-04,580227,580227
2022-05,626153,626153
2022-06,604863,604863
2022-07,615615,615615
2022-08,597065,597065
2022-09,587675,587675
2022-10,613698,613698
2022-11,635128,635128
2022-12,641628,641628
2023-01,579492,579492
2023-02,607046,607046
2023-03,672716,672716
2023-04,630427,630427
2023-05,636281,636281
2023-06,636535,636535
