사용일자,분당선,합계
2019-01,228922,228922
2019-02,197004,197004
2019-03,252336,252336
2019-04,295795,295795
2019-05,310545,310545
2019-06,261573,261573
2019-07,265257,265257
2019-08,262244,262244
2019-09,256898,256898
2019-10,314405,314405
2019-11,301010,301010
2019-12,270173,270173
2020-01,240395,240395
2020-02,215386,215386
2020-03,200218,200218
2020-04,233696,233696
2020-05,243930,243930
2020-06,244681,244681
2020-07,264713,264713
2020-08,206047,206047
2020-09,211750,211750
2020-10,246373,246373
2020-11,238151,238151
2020-12,171005,171005
2021-01,185828,185828
2021-02,202119,202119
2021-03,267351,267351
2021-04,346920,346920
2021-05,300760,300760
2021-06,301697,301697
2021-07,241466,241466
2021-08,239296,239296
2021-09,261391,261391
2021-10,296754,296754
2021-11,325833,325833
2021-12,284001,284001
2022-01,267409,267409
2022-02,219003,219003
2022-03,255233,255233
2022-04,405707,405707
2022-05,394175,394175
2022-06,339697,339697
2022-07,332664,332664
2022-08,325398,325398
2022-09,350609,350609
2022-10,385018,385018
2022-11,373090,373090
2022-12,347534,347534
2023-01,316793,316793
2023-02,329465,329465
2023-03,400770,400770
2023-04,486804,486804
2023-05,412860,412860
2023-06,394641,394641
