사용일자,2호선,3호선,합계
2019-01,692339,353642,1045981
2019-02,567614,288338,855952
2019-03,691890,345357,1037247
2019-04,703670,352537,1056207
2019-05,724001,367690,1091691
2019-06,674748,338922,1013670
2019-07,741119,371630,1112749
2019-08,698002,350480,1048482
2019-09,646804,323168,969972
2019-10,737577,379126,1116703
2019-11,714549,365423,1079972
2019-12,736086,376581,1112667
2020-01,652095,329448,981543
2020-02,555790,282922,838712
2020-03,436813,232374,669187
2020-04,454466,240812,695278
2020-05,481586,259125,740711
2020-06,522784,279501,802285
2020-07,575826,306163,881989
2020-08,454779,239135,693914
2020-09,414204,222190,636394
2020-10,479405,253192,732597
2020-11,505726,264375,770101
2020-12,405805,215777,621582
2021-01,413719,218993,632712
2021-02,416849,214796,631645
2021-03,524971,273009,797980
2021-04,525466,268942,794408
2021-05,506749,255352,762101
2021-06,555395,278351,833746
2021-07,482107,242491,724598
2021-08,452792,225064,677856
2021-09,442372,220401,662773
2021-10,494747,247873,742620
2021-11,581132,284746,865878
2021-12,574273,279408,853681
2022-01,522343,252223,774566
2022-02,427998,208208,636206
2022-03,484276,233561,717837
2022-04,570610,269746,840356
2022-05,639248,302705,941953
2022-06,613603,287177,900780
2022-07,639683,291363,931046
2022-08,621456,280431,901887
2022-09,612209,277388,889597
2022-10,644964,298266,943230
2022-11,680208,311132,991340
2022-12,707518,320193,1027711
2023-01,624871,291663,916534
2023-02,627664,305777,933441
2023-03,705609,339316,1044925
2023-04,680099,326366,1006465
2023-05,682272,334140,1016412
2023-06,686196,336171,1022367
